Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1455;0.8252198696136475;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.8122801780700684;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.6147477626800537;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.4550318717956543;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.8094086647033691;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.5855453014373779;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.083968162536621;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7546753883361816;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.9211733341217041;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0377833843231201;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.6972765922546387;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.5947761535644531;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.5355150699615479;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.9694499969482422;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.33315515518188477;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7068057060241699;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1823532581329346;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6151165962219238;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8970386981964111;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.588515043258667;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9595930576324463;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.0822904109954834;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.9211561679840088;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9426558017730713;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.5789635181427002;0-2;LSB bit-flip
__malloc_hook;malloc.c;1866;0.9210250377655029;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0596137046813965;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.8553562164306641;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.1312744617462158;0-2;LSB bit-flip
global_max_fast;malloc.c;1630;1.019007921218872;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8891122341156006;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.5987138748168945;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.29954099655151367;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9176714420318604;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.0385820865631104;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.0912775993347168;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.37184977531433105;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1656112670898438;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;1.2726976871490479;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.3788754940032959;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.541919469833374;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.0635762214660645;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5972366333007812;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.9232573509216309;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.34563755989074707;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.5611982345581055;0-2;LSB bit-flip
__free_hook;malloc.c;1864;1.2827861309051514;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.9877345561981201;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5954382419586182;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.9942240715026855;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.4219286441802979;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.1323156356811523;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5687952041625977;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0119779109954834;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9998104572296143;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.5444707870483398;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9421508312225342;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.6016943454742432;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1766061782836914;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;1.2147438526153564;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.5070571899414062;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.201951503753662;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.1182849407196045;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.028437614440918;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.33887267112731934;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0527946949005127;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.5617740154266357;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.48835015296936035;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5871360301971436;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.1115138530731201;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6124935150146484;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.3905410766601562;0-2;LSB bit-flip
