Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
_IO_file_jumps_mmap;fileops.c;1480;0.8494291305541992;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.47572898864746094;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2126941680908203;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1779568195343018;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.4173872470855713;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.5830481052398682;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.3114714622497559;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.2925872802734375;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.66796875;0-2;LSB bit-flip;1
__pointer_chk_guard_local;rtld.c;96;1.1810576915740967;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.8468446731567383;0-2;LSB bit-flip;1
any_debug;rtld.c;2322;0.5831584930419922;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.4926729202270508;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.6450152397155762;0-2;LSB bit-flip;1
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.9530482292175293;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.8921592235565186;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.3218626976013184;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.3090484142303467;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.117419719696045;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.0386035442352295;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.4155118465423584;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.208785057067871;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.5058178901672363;0-2;LSB bit-flip;1
_dl_rtld_libname2;rtld.c;302;1.0305922031402588;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.5659463405609131;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;0.9001097679138184;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.4972546100616455;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.3936147689819336;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8601119518280029;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.2180986404418945;0-2;LSB bit-flip;1
main_arena;malloc.c;1761;1.133575439453125;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.2597978115081787;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.822288990020752;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0887765884399414;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.7535004615783691;0-2;LSB bit-flip;1
__pointer_chk_guard_local;rtld.c;96;0.580472469329834;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8711240291595459;0-2;LSB bit-flip;1
__GI__dl_argv;rtld.c;83;1.1564533710479736;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.8684413433074951;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2465589046478271;0-2;LSB bit-flip;1
file_size;rtld.c;874;0.3205592632293701;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.3635251522064209;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;rtld.c;0;1.1144130229949951;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9300370216369629;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2338354587554932;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.0642468929290771;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.870020866394043;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.7364928722381592;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;1.100353479385376;0-2;LSB bit-flip;1
audit_list;rtld.c;142;0.6782035827636719;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;1.1820182800292969;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0502245426177979;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.2714402675628662;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0953285694122314;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.8780968189239502;0-2;LSB bit-flip;1
_dl_rtld_libname;rtld.c;301;0.8438811302185059;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.1771914958953857;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3498308658599854;0-2;LSB bit-flip;1
start_time;rtld.c;308;1.024179458618164;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9892544746398926;0-2;LSB bit-flip;1
start_time;rtld.c;308;1.0166749954223633;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.285869836807251;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0811071395874023;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.6698405742645264;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.2392597198486328;0-2;LSB bit-flip;1
any_debug;rtld.c;2322;0.5121614933013916;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3786382675170898;0-2;LSB bit-flip;1
_dl_rtld_libname;rtld.c;301;0.41617465019226074;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.3311312198638916;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1016273498535156;0-2;LSB bit-flip;1
rtld_total_time;rtld.c;417;0.4209177494049072;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.9729111194610596;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.19957709312438965;0-2;LSB bit-flip;1
preload_file;rtld.c;1630;0.9940876960754395;0-2;LSB bit-flip;1
_dl_rtld_libname2;rtld.c;302;1.1529817581176758;0-2;LSB bit-flip;1
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.43323230743408203;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5881035327911377;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.10709547996521;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8710947036743164;0-2;LSB bit-flip;1
