Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;1.8823766708374023;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0421135425567627;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0845801830291748;0-5;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;2.016174554824829;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2167792320251465;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;2.135283946990967;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;2.2319936752319336;0-5;Random bit-flip
_rtld_global;rtld.c;140;0.9618566036224365;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.4504554271697998;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.9462802410125732;0-5;Random bit-flip
__GI__dl_argv;rtld.c;83;0.8636167049407959;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7222483158111572;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.4391865730285645;0-5;Random bit-flip
_rtld_global;rtld.c;140;1.1185667514801025;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.6442623138427734;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.562223196029663;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.490422010421753;0-5;Random bit-flip
_dl_skip_args;rtld.c;84;1.0672059059143066;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0371649265289307;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;2.1227099895477295;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.6265299320220947;0-5;Random bit-flip
_dl_skip_args;rtld.c;84;0.6985676288604736;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.3438613414764404;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0128836631774902;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.5411865711212158;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.668663740158081;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8135073184967041;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.03963303565979;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.2917828559875488;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.7177250385284424;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.6083674430847168;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1057593822479248;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.6334497928619385;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8259522914886475;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.6234400272369385;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.5133781433105469;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9090125560760498;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.5873303413391113;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2495265007019043;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.4442799091339111;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.156527042388916;0-5;Random bit-flip
__malloc_hook;malloc.c;1852;1.967752456665039;0-5;Random bit-flip
_dl_skip_args;rtld.c;84;1.1972768306732178;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5380709171295166;0-5;Random bit-flip
