Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_argv;rtld.c;86;1.3590061664581299;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2491841316223145;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;0.6761326789855957;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6966404914855957;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.1988062858581543;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7489883899688721;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1752371788024902;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.574613332748413;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8244233131408691;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8441839218139648;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.589134931564331;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.934337854385376;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6587836742401123;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6643519401550293;0-2;Random bit-flip
_dl_argv;rtld.c;86;1.1031684875488281;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.5671811103820801;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.6989295482635498;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6938095092773438;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.921210527420044;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8574936389923096;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5062682628631592;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0899815559387207;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8138840198516846;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0476815700531006;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;0.8292834758758545;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1953911781311035;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1840076446533203;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.72007155418396;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.6319284439086914;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.939457893371582;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.789137601852417;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.461242437362671;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;0.920741081237793;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2468559741973877;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3708672523498535;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5884015560150146;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.078730821609497;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8295185565948486;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.2500574588775635;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.278028964996338;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6748652458190918;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8335440158843994;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.1810431480407715;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.3976683616638184;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.398594617843628;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6058621406555176;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.0385088920593262;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8262763023376465;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.576338529586792;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.9791617393493652;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.48244214057922363;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.9086802005767822;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.074256420135498;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8388609886169434;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3064355850219727;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.9902732372283936;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7072780132293701;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.6514632701873779;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.4958462715148926;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.3619837760925293;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;1.284858226776123;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3591194152832031;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.8561089038848877;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.2210578918457031;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.4095361232757568;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8532207012176514;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7621536254882812;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;0.44461846351623535;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3936576843261719;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.3700008392333984;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6692783832550049;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0264356136322021;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8850457668304443;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.1289269924163818;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.4240665435791016;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;0.3947255611419678;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.107161521911621;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.0226330757141113;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9272689819335938;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.11348295211792;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.8472795486450195;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6282403469085693;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5730774402618408;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.5853867530822754;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7733957767486572;0-2;Random bit-flip
__GI__dl_argv;rtld.c;83;0.6000921726226807;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.874783992767334;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5384142398834229;0-5;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.5096826553344727;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.4415616989135742;0-5;Random bit-flip
end;do-rel.h;47;0.5830295085906982;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.7806901931762695;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.3946528434753418;0-5;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1710550785064697;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.9068565368652344;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;2.128751039505005;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0781514644622803;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.6194462776184082;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0078980922698975;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0816805362701416;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1615796089172363;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.4767298698425293;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;2.577641725540161;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.7713301181793213;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.2657384872436523;0-5;Random bit-flip
_rtld_local_ro;rtld.c;202;0.31330394744873047;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;1.352266550064087;0-5;Random bit-flip
ranges;dl-reloc.c;258;0.9608418941497803;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0122966766357422;0-5;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.2424395084381104;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9815187454223633;0-5;Random bit-flip
_rtld_global;rtld.c;140;1.404313087463379;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8225116729736328;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.510711431503296;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.6031255722045898;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1851987838745117;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2889831066131592;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.6689434051513672;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2642686367034912;0-5;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.9679214954376221;0-5;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;2.10514497756958;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.153388500213623;0-5;Random bit-flip
_rtld_local;rtld.c;162;0.8438305854797363;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;89;0.637742280960083;0-5;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.6352458000183105;0-5;Random bit-flip
_dl_argv;rtld.c;86;1.2982003688812256;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8523876667022705;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.5827488899230957;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.5122852325439453;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.518031358718872;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5064096450805664;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7402782440185547;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8536992073059082;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.4142954349517822;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6091961860656738;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.7243783473968506;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7850406169891357;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;0.7885653972625732;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.05247163772583;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.2697041034698486;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9752836227416992;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.9321084022521973;0-2;Zero bit-flip
