Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__pointer_chk_guard_local;rtld.c;96;0.4788691997528076;0-2;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.4232621192932129;0-2;Random bit-flip
version_info;rtld.c;747;0.580113410949707;0-2;Random bit-flip
_rtld_local;rtld.c;162;0.8113539218902588;0-2;Random bit-flip
audit_list;rtld.c;124;0.7540555000305176;0-2;Random bit-flip
library_path;rtld.c;743;1.0169272422790527;0-2;Random bit-flip
_dl_rtld_libname2;rtld.c;211;1.229309320449829;0-2;Random bit-flip
_rtld_global;rtld.c;140;0.7494516372680664;0-2;Random bit-flip
preloadlist;rtld.c;745;0.400252103805542;0-2;Random bit-flip
_dl_argc;rtld.c;82;0.6040034294128418;0-2;Random bit-flip
any_debug;rtld.c;2239;0.4103236198425293;0-2;Random bit-flip
any_debug;rtld.c;2239;0.8853354454040527;0-2;Random bit-flip
file_size;rtld.c;794;0.8155944347381592;0-2;Random bit-flip
_rtld_local_ro;rtld.c;202;0.6860685348510742;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1744012832641602;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.9323351383209229;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.4191789627075195;0-2;Random bit-flip
preloadlist;rtld.c;745;1.018723487854004;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.6306192874908447;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3496148586273193;0-2;Random bit-flip
library_path;rtld.c;743;0.44571900367736816;0-2;Random bit-flip
__pointer_chk_guard_local;rtld.c;96;0.5737752914428711;0-2;Random bit-flip
_rtld_global;rtld.c;140;0.6790227890014648;0-2;Random bit-flip
file_size;rtld.c;794;0.06493330001831055;0-2;Random bit-flip
_rtld_global_ro;rtld.c;168;0.5554933547973633;0-2;Random bit-flip
