Faults Injected:;5126

Fault Effect;#Effect;PVF
Masked;1453;0.2834568864611783
SDCs;3043;0.5936402653140851
Crashes;628;0.12251268045259461
Hangs;2;0.0003901677721420211

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Zero bit-flip;624;20.50607952678278
LSB bit-flip;621;20.40749260598094
Random bit-flip;609;20.01314492277358
Double bit-flip;597;19.61879723956622
Single bit-flip;592;19.454485704896484

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Random bit-flip;198;31.528662420382165
Double bit-flip;122;19.426751592356688
LSB bit-flip;119;18.949044585987263
Single bit-flip;108;17.197452229299362
Zero bit-flip;81;12.898089171974522

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Random bit-flip;1;50.0
Single bit-flip;1;50.0

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
54.378818737270876;491;267;_IO_file_jumps_mmap;fileops.c;1562
52.391304347826086;460;241;_IO_file_jumps_maybe_mmap;fileops.c;1586
43.643263757115754;527;230;__GI__IO_file_jumps;fileops.c;1537
40.04237288135593;472;189;_IO_file_jumps;fileops.c;1560
85.0;140;119;version_info;rtld.c;747
76.86567164179104;134;103;__libc_multiple_libcs;../elf/dl-sysdep.c;58
71.01449275362319;138;98;library_path;rtld.c;743
76.19047619047619;126;96;tls_init_tp_called;rtld.c;585
76.8;125;96;__GI___libc_enable_secure;../elf/dl-sysdep.c;56
75.2;125;94;__pointer_chk_guard_local;rtld.c;96
73.38709677419355;124;91;_dl_rtld_libname2;rtld.c;211
74.3801652892562;121;90;preloadlist;rtld.c;745
72.0;125;90;start_time;rtld.c;217
76.99115044247787;113;87;any_debug;rtld.c;2239
71.07438016528926;121;86;load_time;rtld.c;216
65.89147286821705;129;85;_rtld_local_ro;rtld.c;202
72.03389830508475;118;85;_dl_argc;rtld.c;82
67.47967479674797;123;83;audit_list;rtld.c;124
63.565891472868216;129;82;_rtld_global_ro;rtld.c;168
69.82758620689656;116;81;_rtld_local;rtld.c;162
62.99212598425197;127;80;_rtld_global;rtld.c;140
65.21739130434783;115;75;_dl_rtld_libname;rtld.c;210
70.47619047619048;105;74;__libc_enable_secure;../elf/dl-sysdep.c;57
71.84466019417476;103;74;relocate_time;rtld.c;215
62.71186440677966;118;74;_dl_argv;rtld.c;86
57.14285714285714;119;68;__GI__dl_argv;rtld.c;83
76.92307692307693;52;40;rtld_total_time;rtld.c;326
71.42857142857143;49;35;file_size;rtld.c;794
69.23076923076923;39;27;__PRETTY_FUNCTION__;rtld.c;0
80.64516129032258;31;25;preload_file;rtld.c;1551
18.867924528301888;106;20;_dl_skip_args;rtld.c;84
59.09090909090909;22;13;ranges;dl-reloc.c;258
100.0;4;4;check_action;malloc.c;1869
100.0;3;3;current_value;dl-lookup.c;809
60.0;5;3;end2;do-rel.h;51
75.0;4;3;reloc_addr;../sysdeps/x86_64/dl-machine.h;265
75.0;4;3;r2;do-rel.h;50
40.0;5;2;__GI__itoa_lower_digits;dl-minimal.c;341
66.66666666666666;3;2;list_lock;arena.c;92
100.0;2;2;malloced;dl-deps.c;253
100.0;2;2;mp_;malloc.c;1769
100.0;2;2;using_malloc_checking;hooks.c;53
100.0;2;2;arena_mem;arena.c;95
66.66666666666666;3;2;__morecore;malloc.c;412
100.0;2;2;global_max_fast;malloc.c;1786
0.8928571428571428;112;1;user_entry;../elf/dl-sysdep.c;89
50.0;2;1;free_list_lock;arena.c;76
50.0;2;1;__libc_malloc_initialized;arena.c;98
100.0;1;1;rtld_search_dirs;dl-load.c;436
100.0;1;1;__realloc_hook;malloc.c;1854
50.0;2;1;thread_arena;arena.c;69
100.0;1;1;maplength;dl-load.c;898
50.0;2;1;aligned_heap_area;arena.c;396
100.0;1;1;disallow_malloc_check;hooks.c;68
100.0;1;1;flags;dl-lookup.c;805
50.0;2;1;__memalign_hook;malloc.c;1857
100.0;1;1;needed_space_bytes;dl-deps.c;189
100.0;1;1;__malloc_hook;malloc.c;1852

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
26.37571157495256;527;139;__GI__IO_file_jumps;fileops.c;1537
26.69491525423729;472;126;_IO_file_jumps;fileops.c;1560
99.10714285714286;112;111;user_entry;../elf/dl-sysdep.c;89
77.35849056603774;106;82;_dl_skip_args;rtld.c;84
9.565217391304348;460;44;_IO_file_jumps_maybe_mmap;fileops.c;1586
6.720977596741344;491;33;_IO_file_jumps_mmap;fileops.c;1562
27.73109243697479;119;33;__GI__dl_argv;rtld.c;83
13.559322033898304;118;16;_dl_argv;rtld.c;86
10.236220472440944;127;13;_rtld_global;rtld.c;140
7.751937984496124;129;10;_rtld_global_ro;rtld.c;168
4.651162790697675;129;6;_rtld_local_ro;rtld.c;202
5.172413793103448;116;6;_rtld_local;rtld.c;162
22.727272727272727;22;5;ranges;dl-reloc.c;258
100.0;1;1;end;do-rel.h;47
100.0;1;1;__free_hook;malloc.c;1850
25.0;4;1;reloc_addr;../sysdeps/x86_64/dl-machine.h;265
50.0;2;1;__memalign_hook;malloc.c;1857

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
0.20366598778004072;491;1;_IO_file_jumps_mmap;fileops.c;1562
0.211864406779661;472;1;_IO_file_jumps;fileops.c;1560
