Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
this;BTree.cpp;0;0.8260786533355713;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7239980697631836;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6002483367919922;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6995735168457031;0-2;LSB bit-flip
this;BTree.cpp;0;0.8902556896209717;0-2;LSB bit-flip
this;BTree.cpp;0;0.8372855186462402;0-2;LSB bit-flip
this;BTree.cpp;0;1.0784590244293213;0-2;LSB bit-flip
this;BTree.cpp;0;1.8865280151367188;0-2;LSB bit-flip
this;BTree.cpp;0;1.2617762088775635;0-2;LSB bit-flip
i;BTree.cpp;585;1.604278802871704;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.49103617668151855;0-2;LSB bit-flip
this;BTree.cpp;0;1.6343371868133545;0-2;LSB bit-flip
i;BTree.cpp;585;1.539090633392334;0-2;LSB bit-flip
this;BTree.cpp;0;0.6703195571899414;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8429009914398193;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.4165637493133545;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;1.4124407768249512;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8119137287139893;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0990161895751953;0-2;LSB bit-flip
i;BTree.cpp;585;0.8374640941619873;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0385899543762207;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2397925853729248;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.9524180889129639;0-2;LSB bit-flip
this;BTree.cpp;0;0.5649545192718506;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8267655372619629;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9240775108337402;0-2;LSB bit-flip
this;BTree.cpp;0;1.398174524307251;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2447450160980225;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;259;1.5732293128967285;0-2;LSB bit-flip
