Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
audit_list_string;rtld.c;134;1.3920624256134033;0-2;LSB bit-flip
audit_list_string;rtld.c;134;0.7044677734375;0-2;LSB bit-flip
any_debug;rtld.c;2322;0.507798433303833;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.6595618724822998;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;259;1.272430658340454;0-2;LSB bit-flip
buf;iogetline.c;31;1.4119932651519775;0-2;LSB bit-flip
any_debug;rtld.c;2322;0.7928812503814697;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.902545690536499;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;1.3402352333068848;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;1.4484472274780273;0-2;LSB bit-flip
audit_list;rtld.c;142;0.40495896339416504;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.5299243927001953;0-2;LSB bit-flip
library_path;rtld.c;823;0.9221818447113037;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.0121145248413086;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;301;1.238844394683838;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.1913363933563232;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;677;0.9494247436523438;0-2;LSB bit-flip
version_info;rtld.c;827;0.5256383419036865;0-2;LSB bit-flip
load_time;rtld.c;307;1.1371443271636963;0-2;LSB bit-flip
load_time;rtld.c;307;0.8904895782470703;0-2;LSB bit-flip
start_time;rtld.c;308;0.8728375434875488;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.4883098602294922;0-2;LSB bit-flip
audit_list;rtld.c;142;0.9032735824584961;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;301;1.3823819160461426;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.976942777633667;0-2;LSB bit-flip
load_time;rtld.c;307;1.0926122665405273;0-2;LSB bit-flip
_dl_rtld_libname;rtld.c;301;0.8382151126861572;0-2;LSB bit-flip
preloadlist;rtld.c;825;0.8100507259368896;0-2;LSB bit-flip
file_size;rtld.c;874;0.559319019317627;0-2;LSB bit-flip
load_time;rtld.c;307;0.7460832595825195;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;302;1.0758509635925293;0-2;LSB bit-flip
preload_file;rtld.c;1630;1.1591858863830566;0-2;LSB bit-flip
preloadlist;rtld.c;825;0.8847079277038574;0-2;LSB bit-flip
version_info;rtld.c;827;0.7546570301055908;0-2;LSB bit-flip
load_time;rtld.c;307;0.7356483936309814;0-2;LSB bit-flip
any_debug;rtld.c;2322;1.431661605834961;0-2;LSB bit-flip
tls_init_tp_called;rtld.c;677;1.2054216861724854;0-2;LSB bit-flip
library_path;rtld.c;823;1.0265226364135742;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.246931791305542;0-2;LSB bit-flip
i;BTree.cpp;585;2.1090734004974365;0-2;LSB bit-flip
version_info;rtld.c;827;0.733891487121582;0-2;LSB bit-flip
file_size;rtld.c;874;0.6962978839874268;0-2;LSB bit-flip
audit_list_string;rtld.c;134;0.6567933559417725;0-2;LSB bit-flip
relocate_time;rtld.c;306;1.093878984451294;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;1.3753869533538818;0-2;LSB bit-flip
any_debug;rtld.c;2322;0.8011655807495117;0-2;LSB bit-flip
audit_list;rtld.c;142;0.9188756942749023;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0988240242004395;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;302;0.77069091796875;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;302;1.1258399486541748;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.7517998218536377;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.8658623695373535;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.2077350616455078;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;1.4815874099731445;0-2;LSB bit-flip
any_debug;rtld.c;2322;0.8716928958892822;0-2;LSB bit-flip
load_time;rtld.c;307;0.8505344390869141;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.240257978439331;0-2;LSB bit-flip
audit_list;rtld.c;142;0.6071813106536865;0-2;LSB bit-flip
version_info;rtld.c;827;0.9384500980377197;0-2;LSB bit-flip
start_time;rtld.c;308;0.6093966960906982;0-2;LSB bit-flip
library_path;rtld.c;823;0.4004065990447998;0-2;LSB bit-flip
_dl_argc;rtld.c;82;0.8950817584991455;0-2;LSB bit-flip
start_time;rtld.c;308;1.1483676433563232;0-2;LSB bit-flip
load_time;rtld.c;307;0.5442521572113037;0-2;LSB bit-flip
_rtld_global;rtld.c;231;1.3224310874938965;0-2;LSB bit-flip
relocate_time;rtld.c;306;0.4783029556274414;0-2;LSB bit-flip
_dl_rtld_libname2;rtld.c;302;0.8057258129119873;0-2;LSB bit-flip
preloadlist;rtld.c;825;0.7256896495819092;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.846365213394165;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.424907922744751;0-2;LSB bit-flip
relocate_time;rtld.c;306;1.2210283279418945;0-2;LSB bit-flip
preloadlist;rtld.c;825;1.3965654373168945;0-2;LSB bit-flip
__pointer_chk_guard_local;rtld.c;96;0.9483165740966797;0-2;LSB bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.4097990989685059;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;0.89508056640625;0-2;LSB bit-flip
load_time;rtld.c;307;0.8200523853302002;0-2;LSB bit-flip
version_info;rtld.c;827;0.5896685123443604;0-2;LSB bit-flip
audit_list_string;rtld.c;134;0.8659501075744629;0-2;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.1027696132659912;0-2;LSB bit-flip
load_time;rtld.c;307;0.9616129398345947;0-2;LSB bit-flip
relocate_time;rtld.c;306;1.0225763320922852;0-2;LSB bit-flip
load_time;rtld.c;307;0.9994568824768066;0-2;LSB bit-flip
any_debug;rtld.c;2322;0.8774399757385254;0-2;LSB bit-flip
