Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;1.0506834983825684;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5846326351165771;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.4975948333740234;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.46162915229797363;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6933465003967285;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0605559349060059;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.191490888595581;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6639788150787354;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.7085704803466797;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.0900981426239014;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9947056770324707;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.593376874923706;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.2293493747711182;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.1529595851898193;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6910278797149658;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.177086591720581;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3776874542236328;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.169248342514038;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.4444248676300049;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.6572360992431641;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2999815940856934;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.277076005935669;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9488921165466309;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.49263715744018555;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.921025276184082;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0078785419464111;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.4534749984741211;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.4434833526611328;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.432751178741455;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.9360878467559814;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.9223182201385498;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.1249196529388428;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.1987426280975342;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.1108710765838623;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.7847845554351807;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8353900909423828;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4891054630279541;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.39164304733276367;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.043074607849121;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.108391284942627;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.1653192043304443;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6769835948944092;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.7625987529754639;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.2878763675689697;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.0941002368927002;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.5465741157531738;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.2016172409057617;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.970158576965332;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.1460118293762207;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5956723690032959;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5638735294342041;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.37868690490722656;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.6146936416625977;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.4239892959594727;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.3658170700073242;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8480162620544434;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9233181476593018;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.3739464282989502;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2212505340576172;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5756795406341553;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.008249044418335;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3737139701843262;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.11490797996521;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0025200843811035;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8775131702423096;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1503567695617676;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.3714625835418701;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.247638463973999;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.170630693435669;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.372488260269165;0-2;Double bit-flip
thread_arena;arena.c;69;0.6756060123443604;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.0656392574310303;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.8369524478912354;0-2;Double bit-flip
__malloc_hook;malloc.c;1852;1.1315441131591797;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.090240478515625;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7863168716430664;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5074331760406494;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.094585657119751;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9458174705505371;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.6923351287841797;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0165607929229736;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.8656046390533447;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.7809591293334961;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.043954849243164;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3416311740875244;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9198458194732666;0-2;Double bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.2843670845031738;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;1.2908833026885986;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.4951655864715576;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9531924724578857;0-2;Double bit-flip
_IO_file_jumps;fileops.c;1560;0.8452303409576416;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2986462116241455;0-2;Double bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8759145736694336;0-2;Double bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.947167158126831;0-2;Double bit-flip
