bitflips:;5463
SDCs:;133
Crashes:;5
Simultaneous SDCs and Crashes:;0

FaultModels SDCs:
FaultModel ;#SDCs; percentage
Double bit-flip;133;100.0

FaultModels Crashes:
FaultModel ;#Crashes; percentage
Double bit-flip;5;3.7593984962406015

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
11.805555555555555;432;51;__GI__IO_file_jumps;fileops.c;1537
11.566265060240964;415;48;_IO_file_jumps;fileops.c;1560
4.415011037527594;453;20;_IO_file_jumps_maybe_mmap;fileops.c;1586
2.293577981651376;436;10;_IO_file_jumps_mmap;fileops.c;1562
100.0;2;2;thread_arena;arena.c;69
100.0;1;1;__free_hook;malloc.c;1850
20.0;5;1;__malloc_hook;malloc.c;1852

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
1.3605442176870748;147;2;_rtld_global;rtld.c;140
0.78125;128;1;_rtld_local;rtld.c;162
0.6329113924050633;158;1;_dl_skip_args;rtld.c;84
0.6451612903225806;155;1;user_entry;../elf/dl-sysdep.c;89
