Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_IO_file_jumps;fileops.c;1560;0.7637710571289062;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0255115032196045;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.569413423538208;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.0100317001342773;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6427083015441895;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9585862159729004;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.2550601959228516;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5810596942901611;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.479764461517334;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.110384464263916;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8875038623809814;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.1053917407989502;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.274094820022583;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3011841773986816;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.633831262588501;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3117170333862305;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5655560493469238;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1434171199798584;0-2;LSB bit-flip
__free_hook;malloc.c;1850;0.5450365543365479;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.3599789142608643;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.8134496212005615;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6252360343933105;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8356814384460449;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.3571064472198486;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7642579078674316;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0410263538360596;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9524679183959961;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.221339464187622;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.3888652324676514;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5116825103759766;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7271592617034912;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.164562702178955;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.376584529876709;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.9248471260070801;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0214810371398926;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5451068878173828;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.8061778545379639;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.0085208415985107;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.006242275238037;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;1.3072433471679688;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.043700933456421;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.6014320850372314;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.616814374923706;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1242780685424805;0-2;LSB bit-flip
_IO_file_jumps;fileops.c;1560;0.5657205581665039;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.26668119430542;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.49079251289367676;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6705472469329834;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6979360580444336;0-2;LSB bit-flip
