Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;1.3035831451416016;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9228003025054932;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0455245971679688;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0428807735443115;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7605993747711182;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2793593406677246;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2532894611358643;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1013214588165283;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.659196138381958;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.5421781539916992;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.2372360229492188;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.9692955017089844;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8800296783447266;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.9683449268341064;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0663704872131348;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2380056381225586;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1690950393676758;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9229638576507568;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8280525207519531;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6699745655059814;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1692590713500977;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9304797649383545;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8999607563018799;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5563397407531738;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.4464218616485596;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.9938335418701172;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7585721015930176;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0134730339050293;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.107755422592163;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1168200969696045;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0411415100097656;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2987446784973145;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.16910982131958;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5958812236785889;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.023252010345459;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.239628791809082;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.677544116973877;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.3676247596740723;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.216728925704956;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.480698585510254;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.3403127193450928;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8145971298217773;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7920660972595215;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.871018648147583;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0835037231445312;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.3103327751159668;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3325796127319336;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.4196445941925049;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.1477711200714111;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0548946857452393;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.9986743927001953;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2959458827972412;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5559184551239014;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6332690715789795;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8542442321777344;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.7793481349945068;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.3579812049865723;0-2;Random bit-flip
_dl_skip_args;rtld.c;84;1.2335205078125;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5180435180664062;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.3962185382843018;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5605659484863281;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.4982442855834961;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.9805328845977783;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8962864875793457;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5481746196746826;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0066726207733154;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.022139310836792;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.2128114700317383;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8634254932403564;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.095512866973877;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0164635181427002;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.4655616283416748;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.886909008026123;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6771888732910156;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.35131096839904785;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5186057090759277;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0074925422668457;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.3099725246429443;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.2893521785736084;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8188743591308594;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.8924350738525391;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5809974670410156;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.164424180984497;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.604196310043335;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3339405059814453;0-2;Random bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.5347177982330322;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.5111103057861328;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;1.0067777633666992;0-2;Random bit-flip
_IO_file_jumps;fileops.c;1560;0.6994693279266357;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.4162757396697998;0-2;Random bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.4204940795898438;0-2;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.7688210010528564;0-2;Random bit-flip
