Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_IO_file_jumps;fileops.c;1560;1.272712230682373;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.0721204280853271;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6451187133789062;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.7662172317504883;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.940758228302002;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6960279941558838;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.336998701095581;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3063669204711914;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.6840856075286865;0-2;Single bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.9473423957824707;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.5788006782531738;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.259643793106079;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5335276126861572;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3254129886627197;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.114577054977417;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.7792584896087646;0-2;Single bit-flip
__malloc_hook;malloc.c;1852;0.9145851135253906;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.9673175811767578;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.0226044654846191;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.0334420204162598;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.5503799915313721;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2460534572601318;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3271174430847168;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.0388031005859375;0-2;Single bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.7038455009460449;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.9672949314117432;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6582512855529785;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.263390302658081;0-2;Single bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.1735303401947021;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;1.3744378089904785;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.5290451049804688;0-2;Single bit-flip
__free_hook;malloc.c;1850;1.0685844421386719;0-2;Single bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7406148910522461;0-2;Single bit-flip
_IO_file_jumps;fileops.c;1560;0.47336387634277344;0-2;Single bit-flip
sym;../elf/dl-runtime.c;73;0.37038230895996094;0-2;Single bit-flip
