Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__GI__IO_file_jumps;fileops.c;1537;1.0362768173217773;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.4375932216644287;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.9234721660614014;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.42896366119384766;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.6758439540863037;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.40358591079711914;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6730194091796875;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.98317551612854;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.428638219833374;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7438333034515381;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.164217472076416;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.154862880706787;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4293186664581299;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.089228868484497;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.6741833686828613;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.3049571514129639;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.0396440029144287;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8874084949493408;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8680374622344971;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.48437976837158203;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.154508113861084;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.1877696514129639;0-2;Zero bit-flip
