Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;91;0.298431396484375;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1286253929138184;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.612480878829956;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.867936372756958;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9108695983886719;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.6298415660858154;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1945271492004395;0-2;LSB bit-flip
this;main.cpp;0;1.044647455215454;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6206023693084717;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.123084306716919;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.6112420558929443;0-2;LSB bit-flip
this;RBTree.cpp;0;0.7442171573638916;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.9643909931182861;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3527517318725586;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1478824615478516;0-2;LSB bit-flip
start;main.cpp;31;1.2301232814788818;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.2664804458618164;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.0788333415985107;0-2;LSB bit-flip
ptr;RBTree.cpp;39;0.7145857810974121;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3119382858276367;0-2;LSB bit-flip
ptr;RBTree.cpp;80;1.1509532928466797;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8989996910095215;0-2;LSB bit-flip
this;RBTree.cpp;0;0.5278668403625488;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.7127621173858643;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.4185950756072998;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9223971366882324;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0723183155059814;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8060009479522705;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.429959774017334;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8604505062103271;0-2;LSB bit-flip
this;RBTree.cpp;0;0.7758853435516357;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.8271985054016113;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0524377822875977;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6176886558532715;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.20769429206848145;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.195124626159668;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7582945823669434;0-2;LSB bit-flip
node;RBTree.cpp;25;0.9862866401672363;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.2268815040588379;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.9264171123504639;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8666341304779053;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.752021074295044;0-2;LSB bit-flip
ptr;RBTree.cpp;267;1.0680022239685059;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.20123529434204102;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.849923849105835;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5499801635742188;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.59494948387146;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.2905857563018799;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.22014641761779785;0-2;LSB bit-flip
ptr;RBTree.cpp;267;0.9832358360290527;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.120964527130127;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.45798587799072266;0-2;LSB bit-flip
_rtld_global;rtld.c;231;0.6954667568206787;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.835810661315918;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8849692344665527;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8225748538970947;0-2;LSB bit-flip
ptr;RBTree.cpp;267;0.6440184116363525;0-2;LSB bit-flip
ptr;RBTree.cpp;267;0.9481093883514404;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0481503009796143;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5899057388305664;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9475200176239014;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5411796569824219;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5342590808868408;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.0732686519622803;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;259;0.9903240203857422;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7963755130767822;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5695905685424805;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6684143543243408;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.34032225608825684;0-2;LSB bit-flip
this;RBTree.cpp;0;0.4361252784729004;0-2;LSB bit-flip
global_max_fast;malloc.c;1630;0.8554103374481201;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7794854640960693;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0670106410980225;0-2;LSB bit-flip
diff_time;main.cpp;36;0.4366481304168701;0-2;LSB bit-flip
library_path;rtld.c;823;0.6898219585418701;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.2879176139831543;0-2;LSB bit-flip
this;RBTree.cpp;0;0.4261641502380371;0-2;LSB bit-flip
ptr;RBTree.cpp;39;1.2388670444488525;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.79571533203125;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.8977694511413574;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.5605132579803467;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.1175878047943115;0-2;LSB bit-flip
_IO_file_jumps_mmap;fileops.c;1480;0.8097965717315674;0-2;LSB bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.6591660976409912;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5543777942657471;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.5720424652099609;0-2;LSB bit-flip
ptr;RBTree.cpp;267;0.9866964817047119;0-2;LSB bit-flip
__GI__IO_file_jumps;fileops.c;1455;0.6957988739013672;0-2;LSB bit-flip
