Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
load_time;rtld.c;216;0.5252015590667725;0-2;Single bit-flip
any_debug;rtld.c;2239;0.48134350776672363;0-2;Single bit-flip
audit_list;rtld.c;124;0.6326394081115723;0-2;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.4306352138519287;0-2;Single bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.1551158428192139;0-2;Single bit-flip
_rtld_local_ro;rtld.c;202;0.7631797790527344;0-2;Single bit-flip
_dl_rtld_libname2;rtld.c;211;1.25398850440979;0-2;Single bit-flip
any_debug;rtld.c;2239;0.6919331550598145;0-2;Single bit-flip
_dl_argc;rtld.c;82;1.0666234493255615;0-2;Single bit-flip
library_path;rtld.c;743;0.8871796131134033;0-2;Single bit-flip
_dl_argc;rtld.c;82;0.4346506595611572;0-2;Single bit-flip
_rtld_local_ro;rtld.c;202;0.6587629318237305;0-2;Single bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;58;1.139045238494873;0-2;Single bit-flip
_dl_rtld_libname2;rtld.c;211;0.8050856590270996;0-2;Single bit-flip
any_debug;rtld.c;2239;1.0247981548309326;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.9172618389129639;0-2;Single bit-flip
version_info;rtld.c;747;0.40932178497314453;0-2;Single bit-flip
_dl_argc;rtld.c;82;1.2885990142822266;0-2;Single bit-flip
_rtld_local;rtld.c;162;1.206739902496338;0-2;Single bit-flip
start_time;rtld.c;217;0.48926496505737305;0-2;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;1.0613369941711426;0-2;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.6275167465209961;0-2;Single bit-flip
library_path;rtld.c;743;0.33934855461120605;0-2;Single bit-flip
_dl_rtld_libname;rtld.c;210;0.4712409973144531;0-2;Single bit-flip
_dl_rtld_libname;rtld.c;210;0.5369267463684082;0-2;Single bit-flip
_rtld_local;rtld.c;162;0.9238884449005127;0-2;Single bit-flip
_dl_rtld_libname2;rtld.c;211;0.8105945587158203;0-2;Single bit-flip
preloadlist;rtld.c;745;0.47665905952453613;0-2;Single bit-flip
library_path;rtld.c;743;0.8632915019989014;0-2;Single bit-flip
_dl_argv;rtld.c;86;1.1652534008026123;0-2;Single bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.5379536151885986;0-2;Single bit-flip
_dl_argv;rtld.c;86;0.42753124237060547;0-2;Single bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;0.5468902587890625;0-2;Single bit-flip
audit_list;rtld.c;124;1.05228853225708;0-2;Single bit-flip
_dl_rtld_libname2;rtld.c;211;1.1905131340026855;0-2;Single bit-flip
any_debug;rtld.c;2239;0.6525740623474121;0-2;Single bit-flip
_rtld_local;rtld.c;162;1.0000176429748535;0-2;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;0.9702091217041016;0-2;Single bit-flip
relocate_time;rtld.c;215;0.9917271137237549;0-2;Single bit-flip
library_path;rtld.c;743;0.7450857162475586;0-2;Single bit-flip
__pointer_chk_guard_local;rtld.c;96;0.6596500873565674;0-2;Single bit-flip
file_size;rtld.c;794;0.678962230682373;0-2;Single bit-flip
load_time;rtld.c;216;0.5037209987640381;0-2;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;56;1.283536434173584;0-2;Single bit-flip
__pointer_chk_guard_local;rtld.c;96;0.4319019317626953;0-2;Single bit-flip
version_info;rtld.c;747;0.4518320560455322;0-2;Single bit-flip
_rtld_global;rtld.c;140;0.8935539722442627;0-2;Single bit-flip
preloadlist;rtld.c;745;0.5281448364257812;0-2;Single bit-flip
_rtld_local_ro;rtld.c;202;0.9765903949737549;0-2;Single bit-flip
_rtld_global_ro;rtld.c;168;1.2152183055877686;0-2;Single bit-flip
library_path;rtld.c;743;0.7446136474609375;0-2;Single bit-flip
__pointer_chk_guard_local;rtld.c;96;0.8960113525390625;0-2;Single bit-flip
version_info;rtld.c;747;1.1890220642089844;0-2;Single bit-flip
preloadlist;rtld.c;745;0.5688226222991943;0-2;Single bit-flip
_dl_argv;rtld.c;86;0.9250764846801758;0-2;Single bit-flip
preload_file;rtld.c;1551;0.36134958267211914;0-2;Single bit-flip
any_debug;rtld.c;2239;1.2059290409088135;0-2;Single bit-flip
preloadlist;rtld.c;745;0.7646546363830566;0-2;Single bit-flip
tls_init_tp_called;rtld.c;585;0.36050987243652344;0-2;Single bit-flip
audit_list;rtld.c;124;0.9028594493865967;0-2;Single bit-flip
library_path;rtld.c;743;0.8009498119354248;0-2;Single bit-flip
_dl_rtld_libname;rtld.c;210;1.2679426670074463;0-2;Single bit-flip
library_path;rtld.c;743;0.7993934154510498;0-2;Single bit-flip
start_time;rtld.c;217;0.6116540431976318;0-2;Single bit-flip
_rtld_local_ro;rtld.c;202;0.6314082145690918;0-2;Single bit-flip
_dl_rtld_libname2;rtld.c;211;1.22349214553833;0-2;Single bit-flip
_rtld_local;rtld.c;162;0.49648380279541016;0-2;Single bit-flip
version_info;rtld.c;747;0.38697242736816406;0-2;Single bit-flip
any_debug;rtld.c;2239;1.0016915798187256;0-2;Single bit-flip
__PRETTY_FUNCTION__;rtld.c;0;1.2601871490478516;0-2;Single bit-flip
tls_init_tp_called;rtld.c;585;1.0218689441680908;0-2;Single bit-flip
__libc_enable_secure;../elf/dl-sysdep.c;57;1.2216951847076416;0-2;Single bit-flip
any_debug;rtld.c;2239;0.8868825435638428;0-2;Single bit-flip
tls_init_tp_called;rtld.c;585;1.126854658126831;0-2;Single bit-flip
_rtld_local;rtld.c;162;0.6694316864013672;0-2;Single bit-flip
