Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_rtld_global;rtld.c;233;0.513920783996582;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;0.37263035774230957;0-5;Random bit-flip
root;splay.cpp;248;1.016435146331787;0-5;Random bit-flip
header;splay.cpp;47;0.768707275390625;0-5;Random bit-flip
root;splay.cpp;248;0.6513843536376953;0-5;Random bit-flip
root;splay.cpp;248;0.6964967250823975;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.4870796203613281;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;0.38529253005981445;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7499816417694092;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.32610130310058594;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.2829253673553467;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0055344104766846;0-5;Random bit-flip
root;splay.cpp;248;1.2342133522033691;0-5;Random bit-flip
LeftTreeMax;splay.cpp;50;0.520057201385498;0-5;Random bit-flip
root;splay.cpp;248;1.3827738761901855;0-5;Random bit-flip
root;splay.cpp;248;1.4778568744659424;0-5;Random bit-flip
this;splay.cpp;0;0.9557499885559082;0-5;Random bit-flip
root;splay.cpp;248;0.5803256034851074;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0907585620880127;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7821593284606934;0-5;Random bit-flip
__s;/usr/include/c++/8/bitset;1408;0.8866894245147705;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;1.2480602264404297;0-5;Random bit-flip
root;splay.cpp;43;0.7358443737030029;0-5;Random bit-flip
RightTreeMin;splay.cpp;51;1.1123378276824951;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3750319480895996;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1440;0.5038375854492188;0-5;Random bit-flip
RightTreeMin;splay.cpp;51;0.6799445152282715;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;1.114466905593872;0-5;Random bit-flip
root;splay.cpp;248;1.0820741653442383;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;1.1819519996643066;0-5;Random bit-flip
this;main.cpp;0;0.7421934604644775;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.4121086597442627;0-5;Random bit-flip
root;splay.cpp;43;0.6239192485809326;0-5;Random bit-flip
root;splay.cpp;248;0.6318497657775879;0-5;Random bit-flip
root;splay.cpp;248;0.8421847820281982;0-5;Random bit-flip
__first;/usr/include/c++/8/bits/stl_vector.h;1443;0.7905004024505615;0-5;Random bit-flip
root;splay.cpp;248;1.5475339889526367;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1673729419708252;0-5;Random bit-flip
root;splay.cpp;248;1.1329264640808105;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.4903233051300049;0-5;Random bit-flip
argv;main.cpp;14;0.6624548435211182;0-5;Random bit-flip
root;main.cpp;22;1.114262580871582;0-5;Random bit-flip
argv;main.cpp;14;0.5407001972198486;0-5;Random bit-flip
root;splay.cpp;43;1.2284948825836182;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;1.145683765411377;0-5;Random bit-flip
root;splay.cpp;248;1.0013248920440674;0-5;Random bit-flip
root;splay.cpp;248;1.026991367340088;0-5;Random bit-flip
root;splay.cpp;132;0.8361375331878662;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6936295032501221;0-5;Random bit-flip
root;splay.cpp;248;1.2782833576202393;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1440;1.363095998764038;0-5;Random bit-flip
root;splay.cpp;43;1.260408639907837;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9843432903289795;0-5;Random bit-flip
root;splay.cpp;248;1.1137046813964844;0-5;Random bit-flip
root;splay.cpp;248;0.8713517189025879;0-5;Random bit-flip
root;splay.cpp;248;1.4803476333618164;0-5;Random bit-flip
_rtld_global_ro;rtld.c;261;0.8544461727142334;0-5;Random bit-flip
root;splay.cpp;248;0.9991648197174072;0-5;Random bit-flip
root;splay.cpp;248;1.0079913139343262;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;0.9099979400634766;0-5;Random bit-flip
_IO_file_jumps_mmap;fileops.c;1465;0.9763634204864502;0-5;Random bit-flip
root;splay.cpp;248;0.6736664772033691;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7648978233337402;0-5;Random bit-flip
RightTreeMin;splay.cpp;51;0.7543416023254395;0-5;Random bit-flip
root;splay.cpp;248;0.6519412994384766;0-5;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9201710224151611;0-5;Random bit-flip
key;splay.cpp;132;0.6476917266845703;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;0.6696274280548096;0-5;Random bit-flip
root;splay.cpp;248;0.7291796207427979;0-5;Random bit-flip
k2;splay.cpp;31;1.3377346992492676;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;0.7689194679260254;0-5;Random bit-flip
_dl_skip_args;rtld.c;86;0.850954532623291;0-5;Random bit-flip
__GI__IO_file_jumps;fileops.c;1440;1.116234540939331;0-5;Random bit-flip
__a;/usr/include/c++/8/bits/stl_vector.h;544;0.6608603000640869;0-5;Random bit-flip
__GI__dl_argv;rtld.c;85;1.1342651844024658;0-5;Random bit-flip
root;splay.cpp;248;1.2820923328399658;0-5;Random bit-flip
