Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
root;splay.cpp;248;0.9020426273345947;0-5;Random bit-flip
root;main.cpp;22;1.5007634162902832;0-5;Random bit-flip
key;splay.cpp;43;0.808063268661499;0-5;Random bit-flip
root;splay.cpp;248;1.362588882446289;0-5;Random bit-flip
p_node;splay.cpp;134;1.1921629905700684;0-5;Random bit-flip
header;splay.cpp;47;1.1842527389526367;0-5;Random bit-flip
root;splay.cpp;132;0.5100879669189453;0-5;Random bit-flip
root;splay.cpp;132;0.5080475807189941;0-5;Random bit-flip
i;main.cpp;30;0.3960270881652832;0-5;Random bit-flip
root;splay.cpp;248;1.5070576667785645;0-5;Random bit-flip
root;splay.cpp;248;1.5585966110229492;0-5;Random bit-flip
LeftTreeMax;splay.cpp;50;1.2202653884887695;0-5;Random bit-flip
p_node;splay.cpp;134;0.5453281402587891;0-5;Random bit-flip
k1;splay.cpp;17;0.7977259159088135;0-5;Random bit-flip
key;splay.cpp;43;0.8390922546386719;0-5;Random bit-flip
__x;/usr/include/c++/8/bitset;1535;1.2379558086395264;0-5;Random bit-flip
root;splay.cpp;248;0.48457956314086914;0-5;Random bit-flip
root;splay.cpp;248;0.9870586395263672;0-5;Random bit-flip
root;splay.cpp;248;1.4732909202575684;0-5;Random bit-flip
root;splay.cpp;248;1.7064342498779297;0-5;Random bit-flip
root;splay.cpp;248;0.7087569236755371;0-5;Random bit-flip
root;splay.cpp;43;0.6460549831390381;0-5;Random bit-flip
header;splay.cpp;47;0.6635234355926514;0-5;Random bit-flip
key;splay.cpp;132;1.306595802307129;0-5;Random bit-flip
key;splay.cpp;132;0.6312613487243652;0-5;Random bit-flip
key;splay.cpp;132;0.871772050857544;0-5;Random bit-flip
root;splay.cpp;43;1.3152995109558105;0-5;Random bit-flip
key;splay.cpp;43;1.0728058815002441;0-5;Random bit-flip
root;splay.cpp;248;1.4073724746704102;0-5;Random bit-flip
key;splay.cpp;132;0.9645278453826904;0-5;Random bit-flip
i;main.cpp;30;0.5092513561248779;0-5;Random bit-flip
root;splay.cpp;248;0.627845048904419;0-5;Random bit-flip
root;splay.cpp;248;0.8966727256774902;0-5;Random bit-flip
k2;splay.cpp;15;0.7662215232849121;0-5;Random bit-flip
root;splay.cpp;248;1.2664883136749268;0-5;Random bit-flip
key;splay.cpp;132;1.0086655616760254;0-5;Random bit-flip
root;splay.cpp;248;1.0913007259368896;0-5;Random bit-flip
this;main.cpp;0;1.4676082134246826;0-5;Random bit-flip
__x;/usr/include/c++/8/bitset;1535;1.7260572910308838;0-5;Random bit-flip
root;splay.cpp;248;0.9313657283782959;0-5;Random bit-flip
root;splay.cpp;248;0.8427615165710449;0-5;Random bit-flip
root;splay.cpp;248;1.4165863990783691;0-5;Double bit-flip
i;main.cpp;30;0.3397998809814453;0-5;Double bit-flip
RightTreeMin;splay.cpp;51;0.9288256168365479;0-5;Double bit-flip
key;splay.cpp;132;0.6573717594146729;0-5;Double bit-flip
root;splay.cpp;248;1.4039685726165771;0-5;Double bit-flip
root;splay.cpp;248;1.1287212371826172;0-5;Double bit-flip
key;splay.cpp;43;1.2581782341003418;0-5;Double bit-flip
root;main.cpp;22;1.2725298404693604;0-5;Double bit-flip
i;main.cpp;30;0.35086798667907715;0-5;Double bit-flip
root;splay.cpp;248;1.0732285976409912;0-5;Double bit-flip
i;main.cpp;30;0.8089704513549805;0-5;Double bit-flip
key;splay.cpp;132;1.3234105110168457;0-5;Double bit-flip
root;splay.cpp;248;0.7153100967407227;0-5;Double bit-flip
root;splay.cpp;248;1.6376264095306396;0-5;Double bit-flip
root;splay.cpp;43;1.0621583461761475;0-5;Double bit-flip
root;splay.cpp;248;0.645244836807251;0-5;Double bit-flip
key;splay.cpp;43;1.3208870887756348;0-5;Double bit-flip
__args#0;/usr/include/c++/8/bits/vector.tcc;98;0.5647282600402832;0-5;Double bit-flip
root;splay.cpp;248;1.1466014385223389;0-5;Double bit-flip
root;splay.cpp;248;0.7357242107391357;0-5;Double bit-flip
root;main.cpp;22;1.194432258605957;0-5;Double bit-flip
root;splay.cpp;43;1.2256925106048584;0-5;Double bit-flip
root;splay.cpp;248;1.196263313293457;0-5;Double bit-flip
root;splay.cpp;248;1.3451058864593506;0-5;Double bit-flip
root;splay.cpp;248;1.2399981021881104;0-5;Double bit-flip
root;splay.cpp;248;0.8428521156311035;0-5;Double bit-flip
root;splay.cpp;248;1.2018229961395264;0-5;Double bit-flip
root;splay.cpp;248;0.7275123596191406;0-5;Double bit-flip
root;splay.cpp;43;1.0390470027923584;0-5;Double bit-flip
LeftTreeMax;splay.cpp;50;1.0910265445709229;0-5;Double bit-flip
root;main.cpp;22;1.169900894165039;0-5;Double bit-flip
root;splay.cpp;248;0.8757352828979492;0-5;Double bit-flip
root;splay.cpp;248;1.326920509338379;0-5;Double bit-flip
root;splay.cpp;248;0.9684841632843018;0-5;Double bit-flip
root;splay.cpp;248;0.8121180534362793;0-5;Double bit-flip
root;splay.cpp;248;0.6141533851623535;0-5;Double bit-flip
root;splay.cpp;248;0.7376031875610352;0-5;Double bit-flip
root;splay.cpp;248;1.178964376449585;0-5;Double bit-flip
root;splay.cpp;248;1.0455727577209473;0-5;Double bit-flip
key;splay.cpp;132;0.47234082221984863;0-5;Double bit-flip
root;splay.cpp;248;1.7466635704040527;0-5;Double bit-flip
root;splay.cpp;248;1.1091811656951904;0-5;Double bit-flip
key;splay.cpp;132;1.1053993701934814;0-5;Double bit-flip
LeftTreeMax;splay.cpp;50;1.163086175918579;0-5;Double bit-flip
i;main.cpp;30;1.366121768951416;0-5;Double bit-flip
root;splay.cpp;248;0.9928028583526611;0-5;Double bit-flip
root;splay.cpp;248;1.2699158191680908;0-5;Double bit-flip
root;splay.cpp;248;0.875450611114502;0-5;Double bit-flip
root;splay.cpp;248;0.6638636589050293;0-5;Double bit-flip
this;main.cpp;0;0.8047356605529785;0-5;Double bit-flip
root;splay.cpp;248;0.9023725986480713;0-5;Double bit-flip
key;splay.cpp;43;0.5725808143615723;0-5;Double bit-flip
root;splay.cpp;248;0.8081214427947998;0-5;Double bit-flip
root;main.cpp;22;0.775277853012085;0-5;Double bit-flip
this;main.cpp;0;0.7857861518859863;0-5;Double bit-flip
root;splay.cpp;248;0.9028506278991699;0-5;Double bit-flip
RightTreeMin;splay.cpp;51;0.34798693656921387;0-5;Double bit-flip
root;splay.cpp;248;1.1717336177825928;0-5;Double bit-flip
root;splay.cpp;248;1.1941936016082764;0-5;Double bit-flip
i;main.cpp;30;0.7462563514709473;0-5;Double bit-flip
key;splay.cpp;43;0.6183311939239502;0-5;Double bit-flip
root;splay.cpp;248;0.9959356784820557;0-5;Zero bit-flip
root;splay.cpp;248;1.4236626625061035;0-5;Zero bit-flip
root;splay.cpp;248;1.4366323947906494;0-5;Zero bit-flip
key;splay.cpp;132;0.38216710090637207;0-5;Zero bit-flip
root;splay.cpp;248;0.7082486152648926;0-5;Zero bit-flip
root;splay.cpp;248;1.3882677555084229;0-5;Zero bit-flip
header;splay.cpp;47;0.9478495121002197;0-5;Zero bit-flip
root;main.cpp;22;1.2096869945526123;0-5;Zero bit-flip
root;splay.cpp;132;0.392413854598999;0-5;Zero bit-flip
root;splay.cpp;132;0.5542099475860596;0-5;Zero bit-flip
header;splay.cpp;47;0.7758309841156006;0-5;Zero bit-flip
key;splay.cpp;110;0.6375751495361328;0-5;Zero bit-flip
root;splay.cpp;248;1.0184829235076904;0-5;Zero bit-flip
key;splay.cpp;43;1.019529104232788;0-5;Zero bit-flip
root;splay.cpp;248;0.9531126022338867;0-5;Zero bit-flip
root;splay.cpp;248;1.140660285949707;0-5;Zero bit-flip
__c1;/usr/include/c++/8/bits/char_traits.h;284;1.1919937133789062;0-5;Zero bit-flip
root;splay.cpp;248;1.3611409664154053;0-5;Zero bit-flip
root;splay.cpp;248;0.9018764495849609;0-5;Zero bit-flip
root;splay.cpp;248;1.0359172821044922;0-5;Zero bit-flip
key;splay.cpp;132;0.7859907150268555;0-5;Zero bit-flip
root;splay.cpp;248;1.113825798034668;0-5;Zero bit-flip
root;splay.cpp;248;1.3512139320373535;0-5;Zero bit-flip
root;splay.cpp;43;0.8204545974731445;0-5;Zero bit-flip
root;splay.cpp;248;0.6773707866668701;0-5;Zero bit-flip
root;splay.cpp;248;0.874924898147583;0-5;Zero bit-flip
root;splay.cpp;248;1.9401679039001465;0-5;Zero bit-flip
root;splay.cpp;248;1.1846938133239746;0-5;Zero bit-flip
root;splay.cpp;248;1.090461015701294;0-5;Zero bit-flip
root;splay.cpp;248;0.9443466663360596;0-5;Zero bit-flip
key;splay.cpp;43;0.555793046951294;0-5;Zero bit-flip
root;splay.cpp;248;1.2572505474090576;0-5;Zero bit-flip
header;splay.cpp;47;1.0163307189941406;0-5;Zero bit-flip
root;splay.cpp;248;1.336331844329834;0-5;Zero bit-flip
key;splay.cpp;132;0.6560614109039307;0-5;Zero bit-flip
root;splay.cpp;248;0.8732147216796875;0-5;Zero bit-flip
root;splay.cpp;248;0.9851717948913574;0-5;Zero bit-flip
key;splay.cpp;43;0.9270055294036865;0-5;Zero bit-flip
key;splay.cpp;43;0.9486055374145508;0-5;Zero bit-flip
root;splay.cpp;248;0.911191463470459;0-5;Zero bit-flip
key;splay.cpp;43;0.823589563369751;0-5;Zero bit-flip
key;splay.cpp;43;1.2027592658996582;0-5;Zero bit-flip
root;splay.cpp;248;1.5750494003295898;0-5;Zero bit-flip
key;splay.cpp;43;0.6792685985565186;0-5;Zero bit-flip
root;splay.cpp;43;0.8302969932556152;0-5;Zero bit-flip
root;splay.cpp;132;1.269951581954956;0-5;Zero bit-flip
root;splay.cpp;248;0.8530294895172119;0-5;Zero bit-flip
key;splay.cpp;110;0.7598707675933838;0-5;Zero bit-flip
root;splay.cpp;248;0.6713764667510986;0-5;Zero bit-flip
root;splay.cpp;248;1.3317651748657227;0-5;Zero bit-flip
root;splay.cpp;248;1.3862812519073486;0-5;Zero bit-flip
root;splay.cpp;248;1.293034315109253;0-5;Zero bit-flip
root;splay.cpp;248;1.9133715629577637;0-5;Zero bit-flip
root;splay.cpp;248;0.8695495128631592;0-5;Zero bit-flip
root;splay.cpp;248;0.7295064926147461;0-5;Zero bit-flip
root;splay.cpp;248;1.5453534126281738;0-5;Zero bit-flip
root;splay.cpp;248;0.5450828075408936;0-5;Zero bit-flip
header;splay.cpp;47;0.9558310508728027;0-5;Zero bit-flip
root;splay.cpp;248;1.2617604732513428;0-5;Zero bit-flip
LeftTreeMax;splay.cpp;50;0.6344254016876221;0-5;Zero bit-flip
root;splay.cpp;248;0.8288698196411133;0-5;Zero bit-flip
root;splay.cpp;248;1.4768447875976562;0-5;Zero bit-flip
root;splay.cpp;248;1.108569622039795;0-5;Zero bit-flip
root;splay.cpp;43;0.8138332366943359;0-5;Zero bit-flip
root;splay.cpp;248;0.8486983776092529;0-5;Zero bit-flip
root;splay.cpp;248;1.625328540802002;0-5;Zero bit-flip
k2;splay.cpp;15;0.5696835517883301;0-5;Zero bit-flip
root;splay.cpp;248;1.0433330535888672;0-5;Zero bit-flip
root;splay.cpp;248;1.076319694519043;0-5;Zero bit-flip
root;splay.cpp;248;0.4579660892486572;0-5;Zero bit-flip
root;splay.cpp;248;0.7733981609344482;0-5;Zero bit-flip
root;splay.cpp;248;1.270381212234497;0-5;Zero bit-flip
root;splay.cpp;248;0.8823518753051758;0-5;Zero bit-flip
root;splay.cpp;248;0.8972935676574707;0-5;Zero bit-flip
root;splay.cpp;248;1.5364317893981934;0-5;Zero bit-flip
key;splay.cpp;110;0.5144557952880859;0-5;Zero bit-flip
root;splay.cpp;248;0.919398307800293;0-5;Zero bit-flip
key;splay.cpp;43;1.2169787883758545;0-5;Zero bit-flip
RightTreeMin;splay.cpp;51;1.3099114894866943;0-5;Zero bit-flip
root;splay.cpp;43;0.5826377868652344;0-5;Zero bit-flip
root;splay.cpp;248;1.4569618701934814;0-5;Zero bit-flip
key;splay.cpp;132;1.2392990589141846;0-5;Zero bit-flip
root;splay.cpp;43;0.7495081424713135;0-5;LSB bit-flip
RightTreeMin;splay.cpp;51;0.9363572597503662;0-5;LSB bit-flip
key;splay.cpp;132;1.0522193908691406;0-5;LSB bit-flip
key;splay.cpp;43;0.6375770568847656;0-5;LSB bit-flip
this;main.cpp;0;0.6342430114746094;0-5;LSB bit-flip
key;splay.cpp;43;0.7384641170501709;0-5;LSB bit-flip
key;splay.cpp;43;0.7621588706970215;0-5;LSB bit-flip
i;main.cpp;30;0.5750038623809814;0-5;LSB bit-flip
i;main.cpp;30;0.4487037658691406;0-5;LSB bit-flip
key;splay.cpp;132;0.395885705947876;0-5;LSB bit-flip
key;splay.cpp;132;1.1956672668457031;0-5;LSB bit-flip
header;splay.cpp;47;1.2518186569213867;0-5;LSB bit-flip
key;splay.cpp;43;1.333512306213379;0-5;LSB bit-flip
key;splay.cpp;132;0.5886049270629883;0-5;LSB bit-flip
key;splay.cpp;132;1.2271831035614014;0-5;LSB bit-flip
key;splay.cpp;132;1.1925327777862549;0-5;LSB bit-flip
key;splay.cpp;43;1.2656993865966797;0-5;LSB bit-flip
key;splay.cpp;132;1.2971928119659424;0-5;LSB bit-flip
key;splay.cpp;132;1.0554883480072021;0-5;LSB bit-flip
key;splay.cpp;132;0.8638701438903809;0-5;LSB bit-flip
i;main.cpp;30;1.299088478088379;0-5;LSB bit-flip
key;splay.cpp;43;0.5720877647399902;0-5;LSB bit-flip
key;splay.cpp;132;0.9641828536987305;0-5;LSB bit-flip
key;splay.cpp;43;1.255603313446045;0-5;LSB bit-flip
root;splay.cpp;132;1.1563215255737305;0-5;LSB bit-flip
i;main.cpp;30;0.6264524459838867;0-5;LSB bit-flip
key;splay.cpp;132;0.6239972114562988;0-5;LSB bit-flip
key;splay.cpp;43;1.1966686248779297;0-5;LSB bit-flip
key;splay.cpp;43;1.1622936725616455;0-5;LSB bit-flip
p_node;splay.cpp;134;0.5272996425628662;0-5;LSB bit-flip
i;main.cpp;30;0.3756601810455322;0-5;LSB bit-flip
header;splay.cpp;47;0.5557882785797119;0-5;LSB bit-flip
key;splay.cpp;43;0.7268648147583008;0-5;LSB bit-flip
RightTreeMin;splay.cpp;51;0.4632575511932373;0-5;LSB bit-flip
key;splay.cpp;43;1.2754817008972168;0-5;LSB bit-flip
root;main.cpp;22;0.6594111919403076;0-5;Single bit-flip
key;splay.cpp;110;1.1588482856750488;0-5;Single bit-flip
root;splay.cpp;248;0.5790009498596191;0-5;Single bit-flip
root;splay.cpp;248;0.9740660190582275;0-5;Single bit-flip
root;splay.cpp;248;1.1354773044586182;0-5;Single bit-flip
root;main.cpp;22;0.7410826683044434;0-5;Single bit-flip
key;splay.cpp;110;0.8675293922424316;0-5;Single bit-flip
root;splay.cpp;248;0.7457566261291504;0-5;Single bit-flip
p_node;splay.cpp;134;0.8872363567352295;0-5;Single bit-flip
k1;splay.cpp;33;0.8177964687347412;0-5;Single bit-flip
root;splay.cpp;43;0.8357341289520264;0-5;Single bit-flip
root;splay.cpp;248;0.7841906547546387;0-5;Single bit-flip
LeftTreeMax;splay.cpp;50;0.6944501399993896;0-5;Single bit-flip
root;splay.cpp;248;0.6246540546417236;0-5;Single bit-flip
root;splay.cpp;132;0.9047584533691406;0-5;Single bit-flip
key;splay.cpp;132;0.4523966312408447;0-5;Single bit-flip
RightTreeMin;splay.cpp;51;0.5201272964477539;0-5;Single bit-flip
root;splay.cpp;132;0.8070287704467773;0-5;Single bit-flip
root;splay.cpp;248;1.5684585571289062;0-5;Single bit-flip
key;splay.cpp;43;1.0227763652801514;0-5;Single bit-flip
LeftTreeMax;splay.cpp;50;0.5588152408599854;0-5;Single bit-flip
root;splay.cpp;248;1.0048034191131592;0-5;Single bit-flip
RightTreeMin;splay.cpp;51;0.8518545627593994;0-5;Single bit-flip
root;splay.cpp;248;1.3231770992279053;0-5;Single bit-flip
header;splay.cpp;47;0.7271912097930908;0-5;Single bit-flip
RightTreeMin;splay.cpp;51;0.614983081817627;0-5;Single bit-flip
root;splay.cpp;248;1.397160291671753;0-5;Single bit-flip
root;splay.cpp;248;1.4086875915527344;0-5;Single bit-flip
root;splay.cpp;248;1.0079686641693115;0-5;Single bit-flip
root;splay.cpp;132;1.2584712505340576;0-5;Single bit-flip
root;splay.cpp;248;1.1143457889556885;0-5;Single bit-flip
root;splay.cpp;248;0.719597339630127;0-5;Single bit-flip
root;splay.cpp;248;0.6731691360473633;0-5;Single bit-flip
root;splay.cpp;43;0.45046162605285645;0-5;Single bit-flip
key;splay.cpp;43;0.8634910583496094;0-5;Single bit-flip
root;splay.cpp;248;0.9228179454803467;0-5;Single bit-flip
RightTreeMin;splay.cpp;51;0.495269775390625;0-5;Single bit-flip
root;splay.cpp;248;0.5764267444610596;0-5;Single bit-flip
root;splay.cpp;248;1.2476699352264404;0-5;Single bit-flip
root;splay.cpp;132;1.2955403327941895;0-5;Single bit-flip
p_node;splay.cpp;134;0.7988176345825195;0-5;Single bit-flip
root;splay.cpp;248;0.9896137714385986;0-5;Single bit-flip
root;splay.cpp;248;0.8269715309143066;0-5;Single bit-flip
root;splay.cpp;248;1.3511457443237305;0-5;Single bit-flip
key;splay.cpp;43;0.878751277923584;0-5;Single bit-flip
root;splay.cpp;43;0.9869472980499268;0-5;Single bit-flip
key;splay.cpp;43;1.3602724075317383;0-5;Single bit-flip
root;splay.cpp;248;0.9310140609741211;0-5;Single bit-flip
root;splay.cpp;132;0.9519948959350586;0-5;Single bit-flip
root;splay.cpp;248;1.0954983234405518;0-5;Single bit-flip
root;splay.cpp;248;1.2870662212371826;0-5;Single bit-flip
root;splay.cpp;248;0.806769847869873;0-5;Single bit-flip
root;splay.cpp;248;0.8142335414886475;0-5;Single bit-flip
key;splay.cpp;132;1.1959450244903564;0-5;Single bit-flip
__first;/usr/include/c++/8/bits/stl_vector.h;1443;0.8170080184936523;0-5;Single bit-flip
key;splay.cpp;43;0.47882938385009766;0-5;Single bit-flip
root;splay.cpp;248;1.098989486694336;0-5;Single bit-flip
root;splay.cpp;248;1.126060962677002;0-5;Single bit-flip
