Faults Injected:;5421

Fault Effect;#Effect;PVF
Masked;4267;0
SDCs;277;0
Crashes;875;0
Hangs;2;0

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Zero bit-flip;82;29.6028880866
Double bit-flip;61;22.0216606498
Single bit-flip;58;20.9386281588
Random bit-flip;41;14.8014440433
LSB bit-flip;35;12.6353790614

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Double bit-flip;199;22.7428571429
LSB bit-flip;199;22.7428571429
Random bit-flip;193;22.0571428571
Single bit-flip;164;18.7428571429
Zero bit-flip;120;13.7142857143

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Single bit-flip;1;50.0
Double bit-flip;1;50.0

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
10.9322033898;1180;129;root;splay.cpp;248
86.1111111111;36;31;key;splay.cpp;43
56.5217391304;46;26;key;splay.cpp;132
41.935483871;31;13;root;splay.cpp;43
66.6666666667;18;12;i;main.cpp;30
25.5813953488;43;11;root;splay.cpp;132
30.0;30;9;header;splay.cpp;47
26.4705882353;34;9;RightTreeMin;splay.cpp;51
16.3265306122;49;8;root;main.cpp;22
23.0769230769;26;6;LeftTreeMax;splay.cpp;50
100.0;5;5;key;splay.cpp;110
11.9047619048;42;5;p_node;splay.cpp;134
7.54716981132;53;4;this;main.cpp;0
50.0;4;2;__x;/usr/include/c++/8/bitset;1535
40.0;5;2;k2;splay.cpp;15
50.0;2;1;k1;splay.cpp;33
100.0;1;1;k1;splay.cpp;17
100.0;1;1;__c1;/usr/include/c++/8/bits/char_traits.h;284
12.5;8;1;__first;/usr/include/c++/8/bits/stl_vector.h;1443
33.3333333333;3;1;__args#0;/usr/include/c++/8/bits/vector.tcc;98

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
27.8813559322;1180;329;root;splay.cpp;248
98.9189189189;185;183;user_entry;../elf/dl-sysdep.c;91
76.2195121951;164;125;_dl_skip_args;rtld.c;86
19.014084507;142;27;__GI__dl_argv;rtld.c;85
39.6226415094;53;21;this;main.cpp;0
61.7647058824;34;21;RightTreeMin;splay.cpp;51
21.0526315789;95;20;__GI__IO_file_jumps;fileops.c;1440
12.4087591241;137;17;_rtld_global;rtld.c;233
38.0952380952;42;16;p_node;splay.cpp;134
45.1612903226;31;14;root;splay.cpp;43
32.5;40;13;argv;main.cpp;14
46.1538461538;26;12;LeftTreeMax;splay.cpp;50
25.5813953488;43;11;root;splay.cpp;132
22.4489795918;49;11;root;main.cpp;22
6.71641791045;134;9;_rtld_global_ro;rtld.c;261
23.3333333333;30;7;header;splay.cpp;47
5.88235294118;85;5;_IO_file_jumps_maybe_mmap;fileops.c;1489
50.0;8;4;this;splay.cpp;0
60.0;5;3;k2;splay.cpp;15
4.16666666667;72;3;_IO_file_jumps_mmap;fileops.c;1465
37.5;8;3;__first;/usr/include/c++/8/bits/stl_vector.h;1443
100.0;3;3;__a;/usr/include/c++/8/bits/stl_vector.h;544
100.0;2;2;__ct;/usr/include/c++/8/bitset;1541
4.34782608696;46;2;key;splay.cpp;132
66.6666666667;3;2;__s;/usr/include/c++/8/bitset;1408
7.40740740741;27;2;start;main.cpp;26
50.0;2;1;k2;splay.cpp;31
11.1111111111;9;1;__last;/usr/include/c++/8/bits/stl_vector.h;1443
4.0;25;1;v_nodes;main.cpp;27
100.0;1;1;stage;abort.c;40
3.125;32;1;argc;main.cpp;14
5.55555555556;18;1;i;main.cpp;30
100.0;1;1;__i;/usr/include/c++/8/bitset;1412
100.0;1;1;__n;/usr/include/c++/8/bits/stl_vector.h;300
33.3333333333;3;1;__last;/usr/include/c++/8/bits/stl_vector.h;543
100.0;1;1;__a;/usr/include/c++/8/bits/alloc_traits.h;474

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
22.2222222222;9;2;__last;/usr/include/c++/8/bits/stl_vector.h;1443
