Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;89;3.1080751419067383;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.6430470943450928;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.7612111568450928;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.8090860843658447;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;2.8782341480255127;0-2;Zero bit-flip
_rtld_global_ro;rtld.c;168;3.5185294151306152;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.647174596786499;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.500004529953003;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.186756134033203;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;2.4423460960388184;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.5001533031463623;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.6540372371673584;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;2.6318678855895996;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;4.099129915237427;0-2;Zero bit-flip
_rtld_global;rtld.c;140;5.291580438613892;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;4.109208106994629;0-2;Zero bit-flip
_rtld_local_ro;rtld.c;202;5.25221848487854;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;4.166488170623779;0-2;Zero bit-flip
current_value;dl-lookup.c;809;1.6682915687561035;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;4.640988111495972;0-2;Zero bit-flip
_rtld_local;rtld.c;162;4.357620716094971;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.615971326828003;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;2.0514931678771973;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;2.4798595905303955;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;4.625698089599609;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;2.6988115310668945;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;89;3.584183692932129;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;3.1567163467407227;0-2;Single bit-flip
ranges;dl-reloc.c;258;0.871100664138794;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;3.873988151550293;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;2.8114542961120605;0-2;Single bit-flip
_rtld_local_ro;rtld.c;202;3.7188119888305664;0-2;Single bit-flip
