Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
user_entry;../elf/dl-sysdep.c;91;1.0145044326782227;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1455;2.5225014686584473;0-2;Zero bit-flip
_rtld_global;rtld.c;231;1.1961407661437988;0-2;Zero bit-flip
this;BTree_dup.cpp;0;1.7985115051269531;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.5437517166137695;0-2;Zero bit-flip
this;BTree_dup.cpp;0;1.4390969276428223;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1455;1.990635633468628;0-2;Zero bit-flip
this;BTree_dup.cpp;0;1.5856308937072754;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7707836627960205;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0121049880981445;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.49385666847229;0-2;Zero bit-flip
this;BTree_dup.cpp;0;2.1901166439056396;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9142603874206543;0-2;Zero bit-flip
this;BTree_dup.cpp;0;2.4649558067321777;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9626774787902832;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0325391292572021;0-2;Zero bit-flip
this;BTree_dup.cpp;0;1.3967602252960205;0-2;Zero bit-flip
this;BTree_dup.cpp;0;1.9752542972564697;0-2;Zero bit-flip
this;BTree_dup.cpp;0;2.324967861175537;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1455;2.1829919815063477;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.069626808166504;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2496631145477295;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1455;2.0961239337921143;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.661851406097412;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6937038898468018;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1504;2.223362922668457;0-2;Zero bit-flip
this;BTree_dup.cpp;0;2.129795789718628;0-2;Zero bit-flip
