Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
i;BTree_dup.cpp;587;3.739218235015869;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.5256235599517822;0-2;Zero bit-flip;1
k;BTree_dup.cpp;496;1.3605599403381348;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.524517297744751;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.5016138553619385;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.6471221446990967;0-2;Zero bit-flip;1
k;BTree_dup.cpp;496;1.8043639659881592;0-2;Zero bit-flip;1
bTree1;BTree_dup.cpp;704;1.892747163772583;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.6893022060394287;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.366140365600586;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.5272271633148193;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.4641916751861572;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.7387523651123047;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.887887716293335;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.1990153789520264;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.1238527297973633;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.550640821456909;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.7063813209533691;0-2;Zero bit-flip;1
this;BTree_dup.cpp;0;1.8880112171173096;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;3.824033737182617;0-2;Zero bit-flip;1
i;BTree_dup.cpp;663;2.0201635360717773;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.0327553749084473;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;2.632967710494995;0-2;Zero bit-flip;1
this;BTree_dup.cpp;0;1.3237226009368896;0-2;Zero bit-flip;1
__x;/usr/include/c++/7/bitset;1531;1.702629804611206;0-2;Zero bit-flip;1
i;BTree_dup.cpp;587;1.4576005935668945;0-2;Zero bit-flip;1
