Faults Injected:;4864

Fault Effect;#Effect;PVF
Masked;3881;0.7979029605263158
SDCs;127;0.026110197368421052
Crashes;848;0.17434210526315788
Hangs;8;0.001644736842105263


Detected SDCs:;126
SDC Coverage (%):;99.21259842519684

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Zero bit-flip;51;40.15748031496063
Random bit-flip;24;18.89763779527559
Single bit-flip;23;18.11023622047244
Double bit-flip;17;13.385826771653544
LSB bit-flip;12;9.448818897637794

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Zero bit-flip;51;40.15748031496063
Random bit-flip;24;18.89763779527559
Single bit-flip;23;18.11023622047244
Double bit-flip;16;12.598425196850393
LSB bit-flip;12;9.448818897637794

FaultModels Crashes:
FaultModel ;#Crashes;percentage
LSB bit-flip;209;24.64622641509434
Double bit-flip;186;21.933962264150946
Random bit-flip;186;21.933962264150946
Single bit-flip;178;20.99056603773585
Zero bit-flip;89;10.495283018867925

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Double bit-flip;3;37.5
Single bit-flip;3;37.5
Zero bit-flip;1;12.5
LSB bit-flip;1;12.5

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
14.836795252225517;337;50;i;BTree_dup.cpp;587
4.850746268656716;536;26;this;BTree_dup.cpp;0
33.82352941176471;68;23;k;BTree_dup.cpp;496
42.857142857142854;14;6;input;BTree_dup.cpp;653
80.0;5;4;i;BTree_dup.cpp;663
75.0;4;3;__one;/usr/include/c++/7/bitset;1405
4.761904761904762;42;2;bTree1;BTree_dup.cpp;704
40.0;5;2;__x;/usr/include/c++/7/bitset;1531
2.7027027027027026;74;2;i;BTree_dup.cpp;499
16.666666666666664;12;2;v_nodes;BTree_dup.cpp;660
18.181818181818183;11;2;__tmp;/usr/include/c++/7/bitset;1533
3.3333333333333335;30;1;bTree2;BTree_dup.cpp;705
0.6944444444444444;144;1;_dl_skip_args;rtld.c;84
100.0;1;1;__c2;/usr/include/c++/7/bits/char_traits.h;284
100.0;1;1;__args#0;/usr/include/c++/7/ext/new_allocator.h;135
4.761904761904762;21;1;k;BTree_dup.cpp;454

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
14.836795252225517;337;50;i;BTree_dup.cpp;587
4.850746268656716;536;26;this;BTree_dup.cpp;0
33.82352941176471;68;23;k;BTree_dup.cpp;496
